epoch,time(s),learning late,train_loss,validation_loss,validation_error(%)
00001,00207,0.10000000000000000555,3.374442,88.38,0.00373577,87.19
00002,00197,0.09999383168576679581,2.605514,73.43,0.00264972,69.21
00003,00198,0.09997532826500640790,2.187136,61.19,0.00253192,64.82
00004,00198,0.09994449430316103278,1.894278,53.13,0.00204669,55.87
00005,00198,0.09990133740804936491,1.622053,48.10,0.00186332,50.68
00006,00198,0.09984586822798954819,1.532523,44.48,0.00176690,48.84
00007,00198,0.09977810044917170829,1.480408,41.48,0.00171810,48.39
00008,00198,0.09969805079228127864,1.428811,39.71,0.00170802,47.53
00009,00197,0.09960573900837324524,1.307639,37.76,0.00203082,52.59
00010,00198,0.09950118787399903075,1.322343,36.28,0.00184652,47.12
00011,00198,0.09938442318558660116,1.243195,35.51,0.00168617,45.17
00012,00197,0.09925547375307562648,1.216406,33.87,0.00186035,48.61
00013,00197,0.09911437139280908359,1.164002,32.77,0.00179448,46.62
00014,00197,0.09896115091968298028,1.092413,32.36,0.00160933,43.02
00015,00197,0.09879585013855640696,1.132063,31.33,0.00179775,47.24
00016,00198,0.09861850983492363720,1.134039,30.74,0.00157036,42.12
00017,00198,0.09842917376485099679,1.045600,30.28,0.00160232,41.40
00018,00198,0.09822788864418068033,1.007907,29.41,0.00185005,46.60
00019,00197,0.09801470413700431872,1.063409,29.09,0.00165838,44.87
00020,00197,0.09778967284340911448,1.053118,28.57,0.00155430,41.65
00021,00196,0.09755285028649954282,0.992017,28.17,0.00160125,41.58
00022,00196,0.09730429489869785176,1.000677,27.62,0.00182732,44.34
00023,00196,0.09704406800732680305,0.912095,27.34,0.00158526,41.43
00024,00197,0.09677223381947795688,0.968519,26.79,0.00155177,41.24
00025,00196,0.09648885940616963586,0.928224,26.58,0.00163843,43.04
00026,00196,0.09619401468579807934,0.880226,26.36,0.00149945,40.28
00027,00196,0.09588777240688621528,0.915204,25.84,0.00225766,50.92
00028,00196,0.09557020813013394900,0.960867,25.60,0.00146933,39.22
00029,00196,0.09524140020977474308,0.904964,25.27,0.00153236,39.73
00030,00196,0.09490142977424290138,0.879325,25.06,0.00162923,41.23
00031,00197,0.09455038070615628953,0.957455,24.82,0.00154835,40.28
00032,00196,0.09418833962161964057,0.919540,24.79,0.00156734,40.32
00033,00202,0.09381539584885316418,0.884791,24.06,0.00159928,40.92
00034,00197,0.09343164140615234370,0.887917,24.05,0.00187272,45.76
00035,00198,0.09303717097918368095,0.900876,24.21,0.00152808,40.44
00036,00197,0.09263208189762243971,0.823307,23.56,0.00138289,37.69
00037,00197,0.09221647411113800819,0.799097,23.46,0.00158043,41.01
00038,00198,0.09179045016473284802,0.910007,23.63,0.00166255,42.00
00039,00197,0.09135411517344095567,0.839492,23.02,0.00161577,41.10
00040,00197,0.09090757679639245581,0.871475,22.61,0.00176638,44.09
00041,00197,0.09045094521025019707,0.774623,22.78,0.00157335,39.97
00042,00197,0.08998433308202530290,0.802124,22.35,0.00166192,41.72
00043,00197,0.08950785554127833887,0.803946,22.50,0.00155368,39.86
00044,00197,0.08902163015171282723,0.780396,22.13,0.00151204,38.96
00045,00198,0.08852577688216807517,0.798047,21.65,0.00156951,39.78
00046,00197,0.08802041807701875553,0.795530,21.77,0.00156328,40.14
00047,00197,0.08750567842598816481,0.805970,21.36,0.00158960,39.49
00048,00197,0.08698168493338299945,0.748252,21.21,0.00153662,39.42
00049,00197,0.08644856688675686684,0.763908,21.16,0.00139506,36.70
00050,00198,0.08590645582501058031,0.788529,20.84,0.00147689,38.33
00051,00197,0.08535548550593678729,0.760788,20.77,0.00153569,39.45
00052,00197,0.08479579187321741041,0.743464,20.30,0.00179623,43.29
00053,00197,0.08422751302288147834,0.755263,20.38,0.00148583,37.35
00054,00196,0.08365078916923190944,0.789991,20.28,0.00174614,41.60
00055,00196,0.08306576261024993524,0.700009,19.98,0.00143215,36.05
00056,00196,0.08247257769248500514,0.739360,19.89,0.00164306,41.75
00057,00196,0.08187138077543962278,0.714494,19.42,0.00155514,39.98
00058,00196,0.08126232019545709395,0.726833,19.23,0.00169212,41.42
00059,00196,0.08064554622912201154,0.761658,19.14,0.00153345,38.05
00060,00196,0.08002121105618154040,0.743793,18.79,0.00189411,43.65
00061,00196,0.07938946872199752203,0.671763,18.87,0.00147321,38.13
00062,00196,0.07875047509953791991,0.721322,18.35,0.00160937,39.22
00063,00196,0.07810438785091761149,0.676939,18.23,0.00156756,40.11
00064,00196,0.07745136638849758892,0.669120,18.14,0.00142608,37.32
00065,00196,0.07679157183555235244,0.644331,17.59,0.00138967,35.50
00066,00197,0.07612516698651508595,0.632787,17.82,0.00134364,35.47
00067,00196,0.07545231626681070392,0.703246,17.69,0.00143618,37.07
00068,00196,0.07477318569228616485,0.681386,17.41,0.00150285,37.60
00069,00196,0.07408794282824870958,0.618335,16.99,0.00172675,40.84
00070,00196,0.07339675674812154438,0.595368,16.92,0.00147444,37.96
00071,00196,0.07269979799172747448,0.629868,16.86,0.00168240,39.95
00072,00196,0.07199723852321082695,0.600623,16.34,0.00156727,38.65
00073,00196,0.07128925168860784922,0.625328,16.30,0.00155848,38.52
00074,00196,0.07057601217307614416,0.656278,16.32,0.00133865,34.28
00075,00196,0.06985769595779371677,0.632006,15.86,0.00136293,35.30
00076,00197,0.06913448027653831818,0.561626,15.55,0.00143895,35.92
00077,00197,0.06840654357195756485,0.584239,15.16,0.00160768,38.48
00078,00197,0.06767406545154096287,0.595926,15.34,0.00158912,38.85
00079,00197,0.06693722664330446770,0.555963,15.08,0.00143250,35.87
00080,00197,0.06619620895119837645,0.563701,15.04,0.00140484,35.97
00081,00197,0.06545119521025018205,0.563531,14.37,0.00149471,36.05
00082,00196,0.06470236924145257584,0.550380,14.59,0.00140521,35.07
00083,00196,0.06394991580640844997,0.553948,14.04,0.00140821,35.52
00084,00196,0.06319402056174366900,0.506839,13.76,0.00147667,36.78
00085,00196,0.06243487001329917074,0.526076,13.68,0.00147136,35.81
